published,order,slug,title,tagline,description,tech,category,status,year,featured,liveUrl,repoUrl,problem,role,impact,teamSize,stats,imageUrl,videoUrl,accentColor
TRUE,2,eks-ai-pipeline,EKS AI Automation Pipeline,"Describe a cluster in YAML; Gemini writes the Terraform, manifests and CI.","A Python pipeline that turns a single YAML cluster spec into a complete AWS EKS deployment. Nine prompt templates drive Google Gemini to produce the pieces you would otherwise hand-write for every cluster: two-stage Terraform that settles the networking layer before the cluster is created, Kubernetes deployment, service and ingress manifests, an ALB controller IAM policy, a Dockerfile, and a GitHub Actions workflow. Shell scripts apply the generated stack and a test harness exercises the pipeline end to end.","Python, Google Gemini, Terraform, Kubernetes, AWS EKS, Docker, GitHub Actions",DevOps,wip,2025,TRUE,,https://github.com/Nisanth2003/ai-rep,"Standing up an EKS cluster is the same Terraform, IAM policy, manifest set and CI workflow every single time — a long chain of small details, each one somewhere to be quietly wrong. Templating it freezes the decisions; generating it lets the output follow the spec.","Sole developer — prompt design, the generation pipeline, the two-stage Terraform split, and the deploy and setup scripts.","One config file produces an entire infrastructure set, including the CI that deploys it. Splitting Terraform in two is the part that matters: the VPC can converge before the cluster asks for it, which is the ordering problem that usually bites on a first apply.",1,Cloud:AWS EKS | Model:Gemini | Prompt templates:9 | Terraform stages:2,,,#F59E0B
TRUE,3,ai-mock-interview,AI Mock Interview,Paste a job description; Gemini writes the interview and the session is saved.,"A Next.js 15 app that turns a job posting into interview practice. You give it a role, a description and years of experience; it prompts Google Gemini for a matching set of questions with model answers, then writes the whole session to Postgres so it can be reopened later rather than regenerated. Clerk handles sign-up and sign-in behind catch-all routes, Drizzle defines the schema against Neon, and the dashboard lists every interview you have generated.","Next.js, React, Google Gemini, Clerk, Drizzle ORM, PostgreSQL, Tailwind CSS",Web,wip,2024,TRUE,,https://github.com/Nisanth2003/Ai-Interview-Website,"Generic interview question lists are easy to find and nearly useless. The questions worth rehearsing are the ones a specific job description would actually produce — which means generating them per posting, and keeping them, so preparation compounds instead of restarting.","Sole developer — Clerk auth, the Drizzle and Neon schema, the Gemini prompt, and the dashboard.","Any pasted job description becomes a stored, re-openable question set tied to your account. The screen that plays the interview back is the next piece of work.",1,Auth:Clerk | Database:Neon Postgres | Model:Gemini,,,#22D3EE
TRUE,4,crypto-tracker,Crypto Tracker,"Prices, charts, side-by-side comparison and a watchlist across the top 100 coins.","A React dashboard over the CoinGecko API, across five routes: a landing page, a paginated dashboard that toggles between grid and list, a coin page charting price over a selectable range with Chart.js, a comparison view that puts two coins on the same axes, and a watchlist held in local storage. Material UI supplies the theming with a light and dark toggle. Every API call lives in its own function module rather than inside a component, so changing a range or an endpoint never touches the UI.","React, JavaScript, Material UI, Chart.js, Axios, React Router, CoinGecko API",Web,shipped,2024,TRUE,,https://github.com/Nisanth2003/BitcoinTracker,"Price sites bury the question you actually arrived with — how have these two moved against each other — under adverts, sign-up walls and noise.",Sole developer.,"Search, chart, compare and track 100 coins in one place with no account required, and a watchlist that survives a reload.",1,Coins:100 | Source:CoinGecko | Routes:5,,,#FBBF24
TRUE,5,movieblink,MovieBlink,"An Android movie browser: four category rails, Firebase accounts and maps.","A Kotlin Android app built around a home screen of four independently scrolling RecyclerView rails, sitting under a ViewPager2 carousel and a bottom navigation bar, each rail with its own adapter and model. Movies arrive over Retrofit with a Gson converter, posters load through Coil so scrolling never stalls on the network, and Firebase Authentication with Firestore holds the account and profile. A detail screen and a Play Services Maps view complete the flow.","Kotlin, Android, Firebase, Firestore, Retrofit, Coil, Google Maps",Mobile,shipped,2024,TRUE,,https://github.com/Nisanth2003/MovieBlinkUsingFirebase,"A browsing app looks simple and is almost entirely plumbing: several lists that scroll independently, an image pipeline that does not stutter under a fling, and an account that survives a reinstall.","Sole developer — the Retrofit API layer, four list adapters, Firebase integration and the maps screen.","Splash, carousel, four rails, detail, profile, authentication and maps in one app, with networking and image loading kept out of the activities.",1,Platform:Android | Auth:Firebase | Rails:4,,,#A855F7
TRUE,6,twitter-clone,Twitter Clone,A live Firestore feed that ships itself — Actions deploys on every push.,"A React front end for a Twitter-style feed. Posts stream in from Firestore through an onSnapshot listener and animate into position as they arrive, so nothing ever needs refreshing, alongside a sidebar, a composer and a widgets column. A GitHub Actions workflow installs, tests, builds and deploys to Firebase Hosting on every push to main, which makes shipping a merge rather than a chore.","React, JavaScript, Firebase, Firestore, Material UI, GitHub Actions",Web,shipped,2024,,,https://github.com/Nisanth2003/my-twitter-clone,A feed with a refresh button is not a feed. And a project you deploy by hand is a project you eventually stop deploying.,"Sole developer — components, the Firestore listener, and the CI/CD pipeline.","Posts appear on every open client the moment they are written, and merging to main puts the change live with no manual step.",1,Data:Firestore | Deploy:GitHub Actions | Hosting:Firebase,,,#38BDF8
TRUE,7,foody-app,Foody,"A complete Android ordering path: sign-in, menu, cart and an order notification.","A Kotlin Android app covering the whole ordering journey across seven activities — splash, start, a login that persists the session in SharedPreferences, item detail, cart, profile, and a system notification posted through a notification channel once an order is placed. View and data binding are used throughout in place of findViewById, so the layouts and the code cannot drift apart silently.","Kotlin, Android, View Binding, Data Binding, SharedPreferences",Mobile,shipped,2024,,,https://github.com/Nisanth2003/Foody-App,"The hard part of an ordering app is not any single screen. It is keeping the session, the cart and the back stack consistent as someone moves between all of them and then leaves the app entirely.",Sole developer.,"Sign in, browse, add to cart, order, get notified — with the session still there after a restart.",1,Platform:Android | Activities:7 | State:SharedPreferences,,,#F97316
TRUE,8,compose-alarm-clock,Compose Alarm Clock,A Jetpack Compose alarm built around a wheel picker written from primitives.,"An Android alarm app written entirely in Jetpack Compose, with no XML layouts anywhere. The centrepiece is a scrolling hour and minute picker built from scratch, because Compose ships nothing equivalent; around it sit a bottom sheet for creating an alarm, a weekday repeat model, and an AlarmManager broadcast scheduled for the chosen time.","Kotlin, Android, Jetpack Compose, AlarmManager",Mobile,shipped,2024,,,https://github.com/Nisanth2003/AlarmClock,"Compose has no stock time picker of the kind an alarm app needs, so the wheel — the snapping, the endless scroll, the highlighted row — has to be assembled out of primitives.",Sole developer.,"The picker, the repeat model and the scheduling all work. The broadcast receiver currently logs its trigger rather than sounding the alarm — that is the piece left to finish.",1,Platform:Android | UI:Jetpack Compose | Picker:Custom,,,#34D399
TRUE,9,kanban-board,Kanban Board,"Drag-and-drop task columns in vanilla JavaScript — no framework, no build step.","A kanban board built directly on the browser’s HTML5 drag-and-drop API. Cards drag between columns with the target column highlighting on dragover, card text turns into an editable textarea on click and saves on blur, and cards can be added or deleted in place. Three files, no dependencies, nothing to compile.","JavaScript, HTML, CSS",Web,shipped,2024,,,https://github.com/Nisanth2003/The-Kanban-Project,"Drag and drop is the feature people reach for a library to get. The platform has had an API for it since HTML5, and using it directly is smaller and faster than any of them.",Sole developer.,"A working board in three files, with nothing to install and nothing to build.",1,Dependencies:0 | Files:3 | API:HTML5 drag & drop,,,#A3E635
TRUE,10,java-arcade,Java Game Launcher,A Swing desktop launcher that opens Tic-Tac-Toe or Snake in its own window.,"A Java Swing desktop application: a launcher frame with one button per game, opening either a 3x3 Tic-Tac-Toe built from a JButton grid with turn tracking and win detection, or a keyboard-driven Snake with a repainting game loop. Standard library only — no dependencies and no build tool.","Java, Swing",Desktop,archived,2025,,,https://github.com/Nisanth2003/GameLauncherUsingSwing,"An exercise in Swing itself: layout managers, the action-listener event model, and driving a continuously repainting game loop inside a frame.",Sole developer.,"Two playable games behind one launcher, written against nothing but the JDK.",1,Language:Java | Games:2 | Dependencies:None,,,#94A3B8
TRUE,11,flipkart-clone,Flipkart Clone,A layout-matching rebuild of the Flipkart storefront in plain HTML and CSS.,"A static rebuild of the Flipkart home page and login screen — sticky header, category strip, banner area and product grids — in HTML and CSS with a small amount of JavaScript. An early exercise in reproducing a production layout by eye, kept for the record rather than dressed up.","HTML, CSS, JavaScript",Web,archived,2024,,,https://github.com/Nisanth2003/Flipkart-clone-,"Rebuilding a page you did not design forces you to see the spacing, alignment and hierarchy decisions you would otherwise scroll straight past.",Sole developer.,"An early layout exercise, and a useful marker of how far the later work moved.",1,Type:Static | Pages:2,,,#64748B
