published,order,name,icon,category,level,note,url
TRUE,3,React,react,Frameworks,primary,5 projects,
TRUE,4,Jetpack Compose,jetpackcompose,Frameworks,working,,
TRUE,5,Tailwind CSS,tailwindcss,Frameworks,working,,
TRUE,6,Material UI,mui,Frameworks,working,,
TRUE,7,JavaScript,javascript,Languages,primary,,
TRUE,8,Python,python,Languages,working,"Automation, AI pipelines",
TRUE,9,HTML,html5,Languages,primary,,
TRUE,10,CSS,css,Languages,primary,,
TRUE,11,SQL,,Languages,familiar,Postgres via Drizzle,
TRUE,12,Java,openjdk,Languages,familiar,,
TRUE,13,Git,git,Tooling,primary,,
TRUE,14,Gradle,gradle,Tooling,working,Android builds,
TRUE,15,Docker,docker,Cloud & DevOps,working,,
TRUE,16,Terraform,terraform,Cloud & DevOps,working,Two-stage EKS,
TRUE,17,Kubernetes,kubernetes,Cloud & DevOps,familiar,,
TRUE,18,AWS,,Cloud & DevOps,familiar,"EKS, ALB, IAM",
TRUE,19,Firebase,firebase,Backend & Data,working,"Auth, Firestore, Hosting",
TRUE,20,PostgreSQL,postgresql,Backend & Data,familiar,Neon serverless,
TRUE,21,Drizzle ORM,drizzle,Backend & Data,familiar,,
TRUE,22,Google Gemini,googlegemini,AI,working,2 projects,
